claim_id,claim_text,classification,source,url,verified
C011,"QR-based merchant payments reached 87.3 million transactions (+41% QoQ by volume, +63% by value) worth Rs0.5 trillion in Q3 FY26; 2.5 million QR-enabled merchant locations registered nationwide",REPORTED,"SBP Payment Systems Quarterly Review Q3 FY26 (search synthesis)",https://www.sbp.org.pk/psd/pdf/PS-Review-Q3FY26.pdf,partial
C012,"Pakistan had 247,836 POS machines across 217,042 registered POS merchants as of March 2026",REPORTED,"Startup.pk, ""Pakistan Built the Digital Payment Rails. The Missing Piece Is the Merchant.""",https://startup.pk/pakistan-built-the-digital-payment-rails-the-missing-piece-is-the-merchant/,partial
C013,"Overall financial inclusion in Pakistan rose to 35% in 2024, up from 8% in 2013",REPORTED,"Karandaaz K-FIS 2024, via Dawn/Profit/Tribune/Brandsynario coverage",https://www.brandsynario.com/karandaaz-releases-k-fis-2024-survey-findings-reflecting-a-decade-of-financial-inclusion-trends-in-pakistan/,partial
C014,"Mobile money usage reached 30% of adults in 2024, up from under 1% ten years earlier",REPORTED,"Karandaaz K-FIS 2024, via press coverage",https://www.brandsynario.com/karandaaz-releases-k-fis-2024-survey-findings-reflecting-a-decade-of-financial-inclusion-trends-in-pakistan/,partial
C015,"Gender gap in financial inclusion: only 14% of women are financially included vs 56% of men (2024)",REPORTED,"Karandaaz K-FIS 2024, via Profit by Pakistan Today / Dawn / Voicepk coverage",https://profit.pakistantoday.com.pk/2025/06/18/only-14-of-women-in-pakistan-have-access-to-financial-services-reveals-survey/,partial
C016,"Mobile phone ownership: 46% of women vs 82% of men (2024)",REPORTED,"Karandaaz K-FIS 2024, via press coverage",https://profit.pakistantoday.com.pk/2025/06/18/only-14-of-women-in-pakistan-have-access-to-financial-services-reveals-survey/,partial
C017,"Raast awareness is low overall (15% of adults) and sharply gendered: 24% of men vs 5% of women aware of Raast, gap widest in rural areas",REPORTED,"Karandaaz K-FIS 2024, via press synthesis",https://www.karandaaz.com.pk/research/publications/karandaaz-financial-inclusion-survey,partial
C018,"Regional financial inclusion (2024): Punjab 40%, Islamabad 38%, Gilgit-Baltistan 33%",REPORTED,"Karandaaz K-FIS 2024, via press synthesis",https://www.brandsynario.com/karandaaz-releases-k-fis-2024-survey-findings-reflecting-a-decade-of-financial-inclusion-trends-in-pakistan/,partial
C019,"SBP Branchless Banking Regulations (revised 30 Dec 2019), Section 9.1(b): AFIs must publish their schedule of charges for BB activities quarterly at branches/agent locations/website, and charges cannot be increased during a quarter",VERIFIED,"SBP, Branchless Banking Regulations (Revised Dec 30 2019), Banking Policy & Regulations Department",https://www.sbp.org.pk/bprd/2019/C10-Branchless-Banking-Regulations.pdf,yes
C020,"The 2019 SBP Branchless Banking Regulations, read in full, contain no explicit textual clause stating that cash-in transactions must be free of charge to the customer as a general rule (the only 'free of cost' language found relates to viewing the last 5 transactions, and to account-opening/closing charges and biometric-verification cost specifically for Home Remittance Accounts)",VERIFIED,"SBP, Branchless Banking Regulations (Revised Dec 30 2019) -- direct full-text read",https://www.sbp.org.pk/bprd/2019/C10-Branchless-Banking-Regulations.pdf,yes
C021,"SBP Branchless Banking Regulations Section 3.2(a)(v) defines Cash-in and Cash-out as a permissible activity via bank-branch counters, ATM machines, and authorized agent locations, without specifying a fee/no-fee rule for either side of the transaction",VERIFIED,"SBP, Branchless Banking Regulations (Revised Dec 30 2019) -- direct full-text read",https://www.sbp.org.pk/bprd/2019/C10-Branchless-Banking-Regulations.pdf,yes
C022,"CGAP's cross-market description of the 'typical' P2P wallet transfer model treats cash-in as free to the customer, with the agent earning a commission paid by the provider; cash-out costs the customer a fee, and the agent earns a commission on that too -- this is a general model description across CGAP's 4 study markets (incl. Pakistan), not a Pakistan-specific regulatory citation",REPORTED,"CGAP, ""Wallet and OTC Transactions: Understanding Financial Incentives"" (Cook & Rashid, Aug 2017)",https://www.cgap.org/sites/default/files/publications/slidedeck/otcandfinancialincentives-edit-170828150729.pdf,yes
C023,"CGAP Pakistan-specific commission/pricing benchmark on a US$20 transaction (fieldwork period ~2013-2016): customer pricing -- formal OTC 5.70%, wallet 'full loop' 1.85%; agent commission -- formal OTC 1.95%, cash-in/cash-out (wallet) 1.30%",REPORTED,"CGAP, ""Wallet and OTC Transactions: Understanding Financial Incentives"" (Cook & Rashid, Aug 2017)",https://www.cgap.org/sites/default/files/publications/slidedeck/otcandfinancialincentives-edit-170828150729.pdf,yes
C024,"CGAP notes that target-based compensation for sending OTC transactions is paid to some agents depending on the franchise, and that 'anecdotal evidence suggests such compensation can account for up to 60% of agent MFS revenue' -- CGAP itself labels this anecdotal, not measured",ESTIMATE,"CGAP, ""Wallet and OTC Transactions: Understanding Financial Incentives"" (Cook & Rashid, Aug 2017)",https://www.cgap.org/sites/default/files/publications/slidedeck/otcandfinancialincentives-edit-170828150729.pdf,yes
C025,"CGAP's 4-country comparative fieldwork (provider/agent interviews, agent mystery-shopping, and Central Bank data across Pakistan, Ghana, Tanzania, Bangladesh) classified Pakistan as a 'low informal OTC market,' and concluded that agents across the studied markets, including Pakistan, do not typically have or use significant commission-driven leverage to steer customers toward informal/off-book transactions ('Do agents have a proverbial thumb on the scale...? Not really.')",REPORTED,"CGAP, ""Wallet and OTC Transactions: Understanding Financial Incentives"" (Cook & Rashid, Aug 2017)",https://www.cgap.org/sites/default/files/publications/slidedeck/otcandfinancialincentives-edit-170828150729.pdf,yes
C026,"No independent Pakistani source (press investigation, SBP consumer-protection circular, or complaint record) was found in this research pass describing agents routing customer cash-out transactions through their own personal wallet or bank account -- as an ordinary P2P transfer -- specifically to avoid the operator's commission share and keep a self-set commission entirely",UNRESOLVED,"Research pass across SBP circulars, Profit/Business Recorder/Dawn/ProPakistani archives, and CGAP Pakistan-specific fieldwork; no direct source found",n/a,no
C027,"No independent source was found confirming a widespread, documented practice of Pakistani BB agents charging customers for cash-in specifically (as distinct from cash-out, which is openly fee-bearing on published tariffs)",UNRESOLVED,"Research pass; only an unattributed, non-citable forum discussion thread referenced 'shopkeepers deducting Rs 10-20 extra,' discarded as unreliable",n/a,no
C028,"Profit by Pakistan Today (2021) reported an industry source warning that, to recover revenue lost from the SBP's 2021 IBFT fee waiver, operators 'might resort to charging a fee for each cash-in at a branchless banking agent,' which the source called 'contradictory to digital financial inclusion' -- this is evidence of a live commercial pressure toward charging for cash-in at the company-policy level in 2021, not of an existing agent-level personal-account workaround",REPORTED,"Profit by Pakistan Today, ""Why the SBP has JazzCash and EasyPaisa on their toes"" (Taimoor Hassan, 19 June 2021)",https://profit.pakistantoday.com.pk/2021/06/19/why-the-sbp-has-jazzcash-and-easypaisa-on-their-toes/,yes
C029,"Telenor Microfinance Bank (Easypaisa) fee/commission income was Rs6.3bn in 2020 (vs Rs5.9bn interest income) and Rs8.2bn in 2019 (vs Rs9.2bn interest income); the bank ran losses in both years",REPORTED,"Profit by Pakistan Today, ""Why the SBP has JazzCash and EasyPaisa on their toes"" (2021), citing Telenor Microfinance Bank financial statements",https://profit.pakistantoday.com.pk/2021/06/19/why-the-sbp-has-jazzcash-and-easypaisa-on-their-toes/,partial
C030,"SBP's 2021 circular instructed banks/MFBs/EMIs to keep IBFT transfers up to Rs25,000/month free of cost to the individual customer; beyond that limit, institutions may charge up to 0.1% of the transaction, capped at Rs200",REPORTED,"Profit by Pakistan Today (2021), describing the SBP circular (primary circular text not independently opened in this pass)",https://profit.pakistantoday.com.pk/2021/06/19/why-the-sbp-has-jazzcash-and-easypaisa-on-their-toes/,partial
C031,"Published 2026 cash-out (withdrawal) fee tiers: JazzCash charges Rs35 on Rs0-1,000 rising to Rs400 on Rs40,001-50,000; Easypaisa charges Rs7 on Rs1-200 rising to Rs690 on Rs40,001-50,000 (15-tier slab structure, common across licensed BB providers)",REPORTED,"Pakistan Observer, ""JazzCash vs EasyPaisa Cash Withdrawal Charges in Pakistan (2026 Update)"" -- a secondary tariff-aggregator source, not the operators' own official Schedule of Charges document",https://pakobserver.net/jazzcash-vs-easypaisa-cash-withdrawal-charges-in-pakistan-2026-update/,partial
C032,"BISP beneficiaries withdrawing their payment through a digital wallet under the new interoperability system pay a PKR 280 cash-withdrawal fee; online transfers and Raast transactions remain free; SBP told a National Assembly Standing Committee it will revise the schedule of charges every six months",REPORTED,"ProPakistani / Business Recorder / PhoneWorld / TechJuice, multi-outlet coverage of SBP's briefing to the NA Standing Committee on Poverty Alleviation and Social Safety (2026)",https://propakistani.pk/2026/07/10/bisp-digital-wallet-charges-to-be-borne-by-beneficiaries-sbp/,partial
C033,"An easypaisa Digital Bank executive, in a Business Recorder / BR Research interview, argued that cash needs to be made more expensive than digital payments in order to shift customer behaviour toward digital channels",REPORTED,"Business Recorder / BR Research, interview headlined ""'Make cash more expensive than digital': easypaisa Digital Bank chief"" -- headline/synopsis confirmed via two independent searches; full article text could not be retrieved (site blocked direct fetch)",https://www.brecorder.com/news/amp/40422255,partial
C034,"CGAP's analysis of Easypaisa's own OTC-to-wallet transition documents a structural incentive misalignment: the agent earns a recurring commission on every OTC transaction, but only a one-time fee when a customer activates a wallet -- meaning it is in the operator's interest to convert OTC customers to wallets, but not in the agent's interest",REPORTED,"CGAP, ""The EasyPaisa Journey from OTC to Wallets in Pakistan""",https://www.cgap.org/blog/easypaisa-journey-otc-to-wallets-in-pakistan,yes
C035,"Punjab held 413,991 branchless banking agents as of December 2023 -- 63.72% of the national total, up from 62.99% in 2019",REPORTED,"Data Darbar Insights, ""Financial inclusion from a provincial lens"" (2 Sept 2024), an independent data-analysis blog citing SBP data as of Dec 2023",https://insights.datadarbar.io/financial-inclusion-from-a-provincial-lens/,partial
C036,"Agent density per 100,000 adults (2023): Punjab 516 vs Balochistan 188 -- a 2.74x gap",REPORTED,"Data Darbar Insights, ""Financial inclusion from a provincial lens""",https://insights.datadarbar.io/financial-inclusion-from-a-provincial-lens/,partial
C037,"2019-2023 five-year CAGR in agent count: Balochistan 27.1%, Gilgit-Baltistan 27.5% -- the fastest-growing regions, off a low base",REPORTED,"Data Darbar Insights, ""Financial inclusion from a provincial lens""",https://insights.datadarbar.io/financial-inclusion-from-a-provincial-lens/,partial
C038,"Provincial branchless-banking transaction value (2023): Punjab Rs11.06 trillion, Sindh Rs3.47 trillion, KP Rs2.7 trillion",REPORTED,"Data Darbar Insights, ""Financial inclusion from a provincial lens""",https://insights.datadarbar.io/financial-inclusion-from-a-provincial-lens/,partial
C039,"Liquidity/float management is consistently cited as a leading operating cost and the top challenge for mobile-money agents in multi-country research (CGAP; the Financial Inclusion Insights survey covering Pakistan among other countries), though no Pakistan-specific percentage-of-cost figure was independently confirmed in this pass",ANALYSIS,"CGAP, various blog posts on agent liquidity management and the multi-country FII survey",https://www.cgap.org/blog/secret-life-of-mobile-money-pricing,partial
C040,"No dataset or analyst report was found in this research pass isolating a measured decline in branchless-banking agent cash-in/cash-out transaction volume attributable specifically to Raast's growth; Raast's threat to the agent commission model is best supported as a structurally plausible, anticipated risk (per industry executive commentary and the operators' own historical fee-revenue dependence), not as an already-occurring, measured effect",UNRESOLVED,"Absence-of-evidence finding across SBP Payment Systems Quarterly Reviews, BB statistics series, and available fintech/analyst commentary",n/a,no
