source_id,title,institution,date,url,tier,notes
S11,VoicePk -- "For women complete financial inclusion remains a distant dream",Voicepk.net,2025-06,https://voicepk.net/2025/06/for-women-complete-financial-inclusion-remains-a-distant-dream/,Secondary,Cross-corroborating coverage of Karandaaz K-FIS 2024; consulted via search snippet only.
S12,"CGAP -- ""Wallet and OTC Transactions: Understanding Financial Incentives""",CGAP (Consultative Group to Assist the Poor -- World Bank-housed),2017-08,https://www.cgap.org/sites/default/files/publications/slidedeck/otcandfinancialincentives-edit-170828150729.pdf,Secondary,"Full 37-page PDF read directly. Multi-country (Pakistan, Ghana, Tanzania, Bangladesh) research based on provider/agent interviews, agent mystery-shopping, and Central Bank data. The single most rigorous, methodologically serious source found on the Part 3 workaround question specifically -- and it complicates rather than confirms the angle's claim for Pakistan (see brief Section 8). Fieldwork period ~2013-2016, so now 8-9 years old, predating Raast and the subsequent wallet-account boom."
S13,"CGAP -- ""The EasyPaisa Journey from OTC to Wallets in Pakistan""",CGAP,n.d. (~2015-2017 era post),https://www.cgap.org/blog/easypaisa-journey-otc-to-wallets-in-pakistan,Secondary,Read directly. Documents the structural agent/operator incentive misalignment (recurring OTC commission vs one-time wallet-activation fee) used in the brief's Part 3 analysis section.
S14,"CGAP -- ""The Secret Life of Mobile Money Pricing""",CGAP,n.d.,https://www.cgap.org/blog/secret-life-of-mobile-money-pricing,Secondary,Read directly. Source of the Pakistan/Ghana OTC-vs-wallet differentiated-pricing finding and the Tanzania ""rogue direct deposits"" parallel.
S15,"CGAP -- ""State Bank of Pakistan Removes Barriers to Branchless Banking""",CGAP,2011,https://www.cgap.org/blog/state-bank-of-pakistan-removes-barriers-to-branchless-banking,Secondary,Search-snippet only (page content not fully extracted). Used only for historical context (early-2010s agent/account counts) -- not a cited figure in the final brief.
S16,"CGAP -- ""Comparing Branchless Banking in Bangladesh and Pakistan""",CGAP,n.d.,https://www.cgap.org/blog/comparing-branchless-banking-in-bangladesh-and-pakistan,Secondary,Identified via search but not opened directly in this pass -- not used for any cited claim. Listed for a future deeper pass if needed.
S17,"World Bank -- ""Branchless Banking in Pakistan: A Laboratory for Innovation""",World Bank / IFC,n.d.,https://openknowledge.worldbank.org/entities/publication/a8169eba-71c7-5859-8f92-6275cd006e82,Primary/Secondary,Identified via search but not opened directly in this pass -- not used for any cited claim. Flagged as a strong candidate for a follow-up deep-read given its primary/multilateral tier.
S18,"Profit by Pakistan Today -- ""Why the SBP has JazzCash and EasyPaisa on their toes""",Profit by Pakistan Today (Taimoor Hassan),2021-06-19,https://profit.pakistantoday.com.pk/2021/06/19/why-the-sbp-has-jazzcash-and-easypaisa-on-their-toes/,Tier-1 journalism,"Full article read directly (direct WebFetch returned 403; a plain curl through the session's proxy succeeded, HTTP 200). Key source for Part 2/3/5: IBFT fee-waiver context, the operators' fee/commission-income reliance, and the on-record industry-source warning about a possible future cash-in charge."
S19,Business Recorder / BR Research -- Interview with Jahanzeb Khan / easypaisa Digital Bank chief (headlined "Make cash more expensive than digital"),Business Recorder,n.d. (2026),https://www.brecorder.com/news/amp/40422255,Tier-1 journalism,"ACCESS BLOCKED -- direct WebFetch and curl (two user agents) both returned HTTP 403; web.archive.org also unreachable from this tool. Headline and gist confirmed independently via two separate WebSearch queries returning consistent snippets, but the full article text was never read. Classify any claim from this source REPORTED with an explicit access-blocked caveat, not VERIFIED."
S20,Business Recorder -- "BISP disbursements: NA panel briefed on services, digital wallets",Business Recorder,2026,https://www.brecorder.com/news/40404783/bisp-disbursements-na-panel-briefed-on-services-digital-wallets,Tier-1 journalism,Search-snippet only; cross-corroborates the PKR 280 BISP withdrawal-fee claim alongside S21-S23.
S21,ProPakistani -- "BISP Digital Wallet Charges To Be Borne By Beneficiaries: SBP",ProPakistani,2026-07-10,https://propakistani.pk/2026/07/10/bisp-digital-wallet-charges-to-be-borne-by-beneficiaries-sbp/,Tier-1 journalism (Pakistani tech/business press),Search-snippet only; primary basis for the PKR 280 BISP withdrawal-fee claim, cross-corroborated by S20/S22/S23.
S22,PhoneWorld -- "SBP Clarifies BISP Digital Wallet Charges, Says Online Transfers Will Remain Free",PhoneWorld,2026,https://www.phoneworld.com.pk/sbp-clarifies-bisp-digital-wallet-charges-says-online-transfers-will-remain-free/,Secondary,Search-snippet only; cross-corroborates the free-online-transfer / paid-cash-withdrawal distinction for BISP wallets.
S23,TechJuice -- "BISP Beneficiaries to Pay PKR 280 for Digital Wallet Withdrawals",TechJuice,2026,https://www.techjuice.pk/bisp-beneficiaries-to-pay-pkr-280-for-digital-wallet-withdrawals/,Secondary,Search-snippet only; cross-corroborates the PKR 280 figure.
S24,JazzCash -- official Schedule of Charges page,JazzCash / Mobilink Microfinance Bank,2026 (Q3 2026 SOC referenced),https://www.jazzcash.com.pk/schedule-of-charges,Primary (company),"Landing page fetched; the linked SOC PDF itself (""SOC-Q3-2026-Final.pdf"") was not retrieved in this pass -- treat as ACCESS BLOCKED for the authoritative current tariff. Fee figures used in the brief instead come from S25/S26 (secondary aggregators) and are flagged accordingly."
S25,Pakistan Observer -- "JazzCash vs EasyPaisa Cash Withdrawal Charges in Pakistan (2026 Update)",Pakistan Observer,2026,https://pakobserver.net/jazzcash-vs-easypaisa-cash-withdrawal-charges-in-pakistan-2026-update/,Secondary,"Read directly. Secondary tariff-aggregator, not the operators' own published Schedule of Charges -- fee tiers should be re-verified against S24 (or JazzCash's/Easypaisa's own current SOC PDFs) before being stated as current fact in the script, since these fees revise quarterly per SBP Regulation S9.1(b)."
S26,Toolsfluent -- "JazzCash Charges 2026 Pakistan" / "EasyPaisa Charges 2026 Pakistan",Toolsfluent (independent blog),2026,https://www.toolsfluent.com/blog/jazzcash-charges-2026,Secondary,Search-snippet only; used only to cross-check S25's fee tiers, not independently cited.
S27,Data Darbar Insights -- "Financial inclusion from a provincial lens",Data Darbar (independent data-journalism/analysis blog),2024-09-02,https://insights.datadarbar.io/financial-inclusion-from-a-provincial-lens/,Secondary,"Read directly. Independent analysis of SBP agent/account data as of December 2023 -- the best available source found for the Part 4 geographic-distribution claims (Punjab vs Balochistan agent density, provincial CAGR, provincial transaction value). The underlying primary SBP EasyData series (S28) could not itself be fetched, so these figures are REPORTED via this secondary analysis, not independently re-derived."
S28,SBP EasyData -- Total Number of Branchless Banking Agents (Punjab series),State Bank of Pakistan,ongoing series,https://easydata.sbp.org.pk/apex/f?p=10:220,Primary,"ACCESS BLOCKED -- direct fetch returned HTTP 403. This is the primary underlying data source behind S27's analysis; a human with portal access should re-derive the provincial figures directly from this series before the script locks in exact numbers."
S29,SBP -- official Facebook page posts (quarterly payment-systems announcements),State Bank of Pakistan,various 2024-2026,https://www.facebook.com/StateBankPakistan/,Primary (official institutional social account),"Used cautiously, only where figures were cross-consistent with other reporting (e.g. branchless-wallet counts, Raast volumes from an earlier/different quarter than Q3 FY26). Not a substitute for the underlying PDF reports; flagged so future sessions don't treat social-media paraphrase as equivalent to the primary PDF."
S30,en.tohed.com -- Islamic discussion forum thread on JazzCash/EasyPaisa "extra charges",Unattributed public forum,n.d.,https://en.tohed.com/threads/3-shar%E2%80%98i-rulings-on-extra-charges-via-jazzcash-easypaisa.6878/,Discarded,"DISCARDED per source hierarchy -- unattributed public forum/social content, not verifiable or citable. Surfaced a claim (""some shopkeepers deduct Rs 10-20 extra"") that is suggestive but cannot be used as evidence; noted in the brief only as unusable texture, not as a source for any claim."
S31,SBP -- Branchless Banking Regulations For Financial Institutions (2011 enclosure / historical circular),State Bank of Pakistan (BPRD),2011,https://www.sbp.org.pk/bprd/2011/C9-Enclosure-2.pdf,Primary,Identified via search as historical predecessor to S01; not opened directly in this pass (S01, the current 2019 revision, supersedes it and was read in full instead).
S32,Startup.pk -- "Pakistan Built the Digital Payment Rails. The Missing Piece Is the Merchant.",Startup.pk,2026,https://startup.pk/pakistan-built-the-digital-payment-rails-the-missing-piece-is-the-merchant/,Secondary,Read directly. Source for POS/merchant-infrastructure gap figures used in Part 5.
